epsilon,pct_misclassified,num_misclassified,total_attempted,avg_mask_norm
0.001,0.12158054711246201,120,987,0.3879777747447005
0.01,0.7082066869300911,699,987,3.8797774788335704
0.02,0.8926038500506586,881,987,7.759554931578786
0.05,0.9766970618034447,964,987,19.398888886518392
